#0:h	1:A	2:v	3:qapex
+3.2862e+01         +1.7516e+02         +1.7980e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7701e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7472e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.8093e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7572e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7346e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7917e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.7280e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.6992e+01         -1                  
+3.2862e+01         +1.7516e+02         +1.6945e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7980e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7701e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7472e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.8093e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7572e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7346e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7917e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.7280e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.6992e+01         -1                  
+3.3198e+01         +1.7779e+02         +1.6945e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7980e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7701e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7472e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.8093e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7572e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7346e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7917e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.7280e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.6992e+01         -1                  
+3.1565e+01         +1.7572e+02         +1.6945e+01         -1                  
+3.3213e+01         +1.7882e+02         +1.7980e+01         -1                  
+3.3213e+01         +1.7882e+02         +1.7701e+01         -1                  
+3.3213e+01         +1.7882e+02         +1.7472e+01         -1                  
+3.3213e+01         +1.7882e+02         +1.8093e+01         -1                  
