#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.51778541362029671e+01  -8.92903459716505665e+00  6.18551173297133694e+00   +7.47718863083009722e-01  +4.66352347793543731e-01  +1.18046485801324348e+01  +1.32531677401217564e+02  +2.85366800782660277e+02  +2.81410497870818972e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.49857474340249581e+01  -9.10826891548171957e+00  6.09164441109707067e+00   +7.51876692664710355e-01  +4.52694328190145823e-01  +1.16433393316097593e+01  +1.32533731137705757e+02  +2.85325812677829674e+02  +2.79357223010133794e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.48280684562516001e+01  -9.25538238822192127e+00  6.01459918991711895e+00   +7.55373803574497127e-01  +4.41401817731018331e-01  +1.15092985105471382e+01  +1.32535516417755815e+02  +2.85290048348873825e+02  +2.77690821506722727e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.52556607933575066e+01  -8.85644148616224669e+00  6.22352968054048450e+00   +7.46065531258632286e-01  +4.71855028692792167e-01  +1.18694083776324995e+01  +1.32530879734562774e+02  +2.85382667312466708e+02  +2.82248911062492766e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.48969239050609232e+01  -9.19114069706899528e+00  6.04824339130574185e+00   +7.53837022788674038e-01  +4.46342602962296331e-01  +1.15680240158407290e+01  +1.32534724990392988e+02  +2.85305916304493508e+02  +2.78416334015010477e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.47413105907518514e+01  -9.33632691907461165e+00  5.97220749616744584e+00   +7.57332076695978240e-01  +4.35154418205635274e-01  +1.14348575113260651e+01  +1.32536541392803059e+02  +2.85269470616058982e+02  +2.76781627319029894e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.51344752034530998e+01  -8.96950686259139829e+00  6.16431588609650305e+00   +7.48648184629772673e-01  +4.63277392515094089e-01  +1.17684042200894332e+01  +1.32532130354138104e+02  +2.85357777041343866e+02  +2.80944732060841545e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.46958659945376979e+01  -9.37872643523553862e+00  5.95000232325095446e+00   +7.58367830577552082e-01  +4.31871828584733830e-01  +1.13956571225745904e+01  +1.32537091297003514e+02  +2.85258419666735392e+02  +2.76307643441483719e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.44975623019668376e+01  -9.56374250575596818e+00  5.85310702325171306e+00   +7.62971151624446509e-01  +4.17461330596078373e-01  +1.12228070725457538e+01  +1.32539605060674148e+02  +2.85207832863084036e+02  +2.74258319189009967e+02  +8.71918335479336406e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.44652002410264586e+01  -9.59393610059784407e+00  5.83729424859905421e+00   +7.63735757271383431e-01  +4.15095600342596238e-01  +1.11943044813246804e+01  +1.32540034264352755e+02  +2.85199187906190730e+02  +2.73926914234075639e+02  +8.71918335479336406e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.48065469592118149e+01  -8.40582388951406045e+00  5.90589447853878546e+00   +7.26327918957197838e-01  +4.54640160336335641e-01  +1.15794836879569925e+01  +1.32533336660550049e+02  +2.80698699487400916e+02  +2.76762331869230877e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.77010000000000005e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.46202019201250408e+01  -8.59317699467358764e+00  5.81636604509536959e+00   +7.30718970525108147e-01  +4.41555623684540988e-01  +1.14199162390643583e+01  +1.32535009584074544e+02  +2.80629645754160833e+02  +2.74887632786802385e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.74720000000000013e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.44672520493333820e+01  -8.74695427453570673e+00  5.74288213377442691e+00   +7.34413329473510013e-01  +4.30729749810944251e-01  +1.12874130539277253e+01  +1.32536488140096651e+02  +2.80569530634391754e+02  +2.73374186274353690e+02  +8.93663504665310029e+01  
